Arquitectura,Etapa,Generador,Visto,Semilla,Exactitud,Precision,Sensibilidad_Recall,Especificidad,F1_Score,AUC_ROC,VP_fake_fake,FN_fake_real,FP_real_fake,VN_real_real
ResNet-50,FT-3,StyleGAN2,True,123,0.7528571428571429,0.6692160611854685,1.0,0.5057142857142857,0.8018327605956472,0.9920702947845806,1050,0,519,531
ResNet-50,FT-3,StyleGAN2,True,2024,0.7995238095238095,0.7138001359619307,1.0,0.599047619047619,0.8330027766759223,0.9952444444444445,1050,0,421,629
ResNet-50,FT-3,StyleGAN3,True,42,0.7252380952380952,0.6473520249221184,0.9895238095238095,0.46095238095238095,0.7826741996233522,0.9394054421768707,1039,11,566,484
ResNet-50,FT-3,StyleGAN3,True,123,0.7485714285714286,0.6673076923076923,0.9914285714285714,0.5057142857142857,0.7977011494252874,0.9397727891156462,1041,9,519,531
ResNet-50,FT-3,StyleGAN3,True,2024,0.7947619047619048,0.7118412046543463,0.9904761904761905,0.599047619047619,0.8283552369573874,0.9628970521541951,1040,10,421,629
ResNet-50,FT-3,SDXL,True,42,0.7285714285714285,0.6488833746898263,0.9961904761904762,0.46095238095238095,0.7858752817430503,0.9747269841269841,1046,4,566,484
ResNet-50,FT-3,SDXL,True,123,0.7504761904761905,0.6681585677749361,0.9952380952380953,0.5057142857142857,0.7995409334353482,0.9807015873015874,1045,5,519,531
ResNet-50,FT-3,SDXL,True,2024,0.7957142857142857,0.7122351332877649,0.9923809523809524,0.599047619047619,0.8292877039395146,0.9844970521541949,1042,8,421,629
ResNet-50,FT-3,Flux,True,42,0.7304761904761905,0.6497524752475248,1.0,0.46095238095238095,0.7876969242310577,0.9890748299319728,1050,0,566,484
ResNet-50,FT-3,Flux,True,123,0.7523809523809524,0.6690051020408163,0.9990476190476191,0.5057142857142857,0.8013750954927426,0.9926716553287982,1049,1,519,531
ResNet-50,FT-3,Flux,True,2024,0.7995238095238095,0.7138001359619307,1.0,0.599047619047619,0.8330027766759223,0.9957473922902493,1050,0,421,629
Xception,Inicial,StyleGAN2,True,42,0.88,0.8073959938366718,0.9980952380952381,0.7619047619047619,0.8926746166950597,0.9949233560090703,1048,2,250,800
Xception,Inicial,StyleGAN2,True,123,0.9304761904761905,0.8804713804713805,0.9961904761904762,0.8647619047619047,0.934763181411975,0.9983632653061225,1046,4,142,908
Xception,Inicial,StyleGAN2,True,2024,0.9695238095238096,0.9481818181818182,0.9933333333333333,0.9457142857142857,0.9702325581395349,0.9984625850340135,1043,7,57,993
Xception,Inicial,StyleGAN3,False,42,0.8371428571428572,0.793046357615894,0.9123809523809524,0.7619047619047619,0.8485385296722764,0.9178875283446712,958,92,250,800
Xception,Inicial,StyleGAN3,False,123,0.8857142857142857,0.870201096892139,0.9066666666666666,0.8647619047619047,0.8880597014925373,0.9547714285714286,952,98,142,908
Xception,Inicial,StyleGAN3,False,2024,0.8566666666666667,0.9339513325608343,0.7676190476190476,0.9457142857142857,0.8426555148980659,0.9482267573696145,806,244,57,993
Xception,Inicial,SDXL,False,42,0.7738095238095238,0.7674418604651163,0.7857142857142857,0.7619047619047619,0.7764705882352941,0.8543160997732426,825,225,250,800
Xception,Inicial,SDXL,False,123,0.7685714285714286,0.8325471698113207,0.6723809523809524,0.8647619047619047,0.743940990516333,0.8765678004535147,706,344,142,908
Xception,Inicial,SDXL,False,2024,0.7647619047619048,0.9149253731343283,0.5838095238095238,0.9457142857142857,0.7127906976744186,0.8916149659863946,613,437,57,993
Xception,Inicial,Flux,False,42,0.8380952380952381,0.7933884297520661,0.9142857142857143,0.7619047619047619,0.8495575221238938,0.914481179138322,960,90,250,800
Xception,Inicial,Flux,False,123,0.8080952380952381,0.8474758324382384,0.7514285714285714,0.8647619047619047,0.7965673902069662,0.9023360544217688,789,261,142,908
Xception,Inicial,Flux,False,2024,0.8376190476190476,0.9307411907654921,0.7295238095238096,0.9457142857142857,0.8179391350774159,0.9444866213151928,766,284,57,993
